dataset_identifier,data_repository,decision_rationale,dataset_webpage,source_url
phs001823.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001823.v1.p1,"The identifier `phs001823.v1.p1` refers to a study in the dbGaP database, which is used for genomic and phenotypic data. This dataset is likely critical as it provides genomic data that supports the findings related to mutations in the SMARCA4 gene in small cell lung cancer cell lines.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
n/a,https://depmap.org/portal/download/all/?releasename=DepMap+Public+19Q1,"The reference to the DepMap repository indicates that various datasets related to cancer cell lines are utilized. However, no specific dataset identifier is provided, thus it is marked as 'n/a'. This repository is relevant as it contains RNA-seq and other genomic data used to analyze the characteristics of the cancer cell lines discussed in the publication.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
n/a,https://data.broadinstitute.org/ccle_legacy_data/mRNA_expression/,"The reference to the Broad Institute's CCLE legacy data indicates that mRNA expression data from cancer cell lines is being used. However, no specific dataset identifier is provided, thus it is marked as 'n/a'. This data is likely important for understanding the expression profiles of the various cell lines mentioned in the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
PXD029805,https://www.ebi.ac.uk/pride/archive/projects/PXD029805,"The identifier 'PXD' indicates this dataset is part of the PRIDE database, which is commonly used for proteomics data. This dataset is crucial as it contains the mass spectrometry proteomics data that supports the research findings regarding the proteomic profiles of small-cell lung cancer subtypes.",https://www.ebi.ac.uk/pride/archive/projects/PXD029805,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
PXD029821,https://www.ebi.ac.uk/pride/archive/projects/PXD029821,"Similar to PXD029805, this identifier also belongs to the PRIDE database. It contains culture media data relevant to the study, providing additional insights into the proteomic landscape of small-cell lung cancer, which is essential for understanding subtype-specific characteristics.",https://www.ebi.ac.uk/pride/archive/projects/PXD029821,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
n/a,n/a,"No other specific dataset identifiers or repository references were mentioned in the publication, indicating that the primary datasets are those deposited in the PRIDE database.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
PXD030304,http://pride:PXD030304,"The identifier 'PXD' indicates this dataset is part of the ProteomeXchange, which is a well-known repository for proteomic data. The publication discusses a comprehensive proteomic map of cancer cell lines, and this dataset likely contains the mass spectrometry data that supports the findings of the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,https://www.cancerrxgene.org/,"The CancerRxGene repository is mentioned as a source for drug response measurements. Although no specific dataset identifier is provided, this resource is relevant for understanding the drug sensitivity profiles discussed in the publication.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,https://cellmodelpassports.sanger.ac.uk,"The Cell Model Passports database is referenced for accessing various datasets related to cancer cell lines. This indicates that the publication's findings are supported by data available in this repository, although no specific dataset identifier is mentioned.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,https://doi.org/10.5281/zenodo.6563157,"This DOI links to the code and analysis related to the study, indicating that it is a resource for reproducing the results. While it does not represent a dataset itself, it is essential for understanding the computational methods used in the research.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
GSE43346,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43346,"The identifier `GSE43346` indicates that this dataset is part of the Gene Expression Omnibus (GEO), which is a common repository for gene expression data. The publication discusses gene expression analysis in small cell lung cancer (SCLC), and this dataset likely contains relevant expression data that supports the research conclusions.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665955
n/a,n/a,No additional dataset identifiers or repository references were found in the provided publication text beyond the GEO dataset.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665955
GSE138474,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138474,"The identifier `GSE138474` indicates this dataset is part of the Gene Expression Omnibus (GEO), which is a well-known repository for high-throughput gene expression data. The publication discusses single-cell RNA sequencing and mentions that the data has been deposited in GEO, suggesting that this dataset is crucial for supporting the research findings related to intratumoral heterogeneity in small-cell lung cancer.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7842382
n/a,n/a,"The publication discusses the quantitative proteomics of the Cancer Cell Line Encyclopedia (CCLE) but does not provide a specific dataset identifier or repository link. However, it mentions that all data are available at the Gygi lab website and the DepMap project portal, indicating that the data is accessible but not through the specified repositories.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
PMC7339254,https://pmc.ncbi.nlm.nih.gov/articles/PMC7339254/,"The identifier 'PMC7339254' refers to the article in the PubMed Central repository, which hosts the publication discussing the quantitative proteomics of the CCLE. This indicates that the article itself is a primary source for the dataset discussed.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
n/a,https://gygi.med.harvard.edu/publications/ccle,"The publication states that the data generated from the study is available on the Gygi lab website, which suggests that this URL is a repository for the dataset, even though a specific dataset identifier is not provided.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
n/a,https://depmap.org/portal/,"The publication mentions that data will also be distributed through the DepMap project portal, indicating that this is another repository where the dataset can be found, but no specific dataset identifier is mentioned.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
PXD053567,http://www.ebi.ac.uk/pride/archive/,"The identifier 'PXD' indicates this dataset is part of the PRIDE Archive, which is a well-known repository for proteomics data. This dataset is crucial as it contains mass spectrometry proteomics data generated during the study, which is essential for analyzing the protein differences among the thyroid tumors discussed in the publication.",https://www.ebi.ac.uk/pride/archive/projects/PXD053567,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/
MSV000092944,https://massive.ucsd.edu/,"The identifier `MSV` indicates this dataset is part of the MassIVE database, which is commonly used for proteomics data. The publication focuses on proteomics analysis related to drug resistance in cancer cells, suggesting that this dataset is integral to the research conclusions.",https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/
PXD052949,https://www.proteomexchange.org/,"The identifier 'PXD052949' indicates this dataset is part of the ProteomeXchange Consortium, which is a well-known repository for proteomic data. The publication discusses proteomic profiling related to the response to capivasertib, suggesting that this dataset is crucial for supporting the research findings.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
n/a,n/a,"No additional dataset identifiers or repository references were found in the publication, indicating that the primary dataset referenced is the one associated with the ProteomeXchange Consortium.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
PXD045268,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD045268,"The identifier `PXD` indicates this dataset is part of the ProteomeXchange Consortium, which is a well-known repository for mass spectrometry-based proteomics data. This dataset is crucial as it contains the mass spectrometry proteomics data referenced in the study, supporting the findings regarding proteasome regulatory proteins in embryonal tumors.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD045268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE10327,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10327,"The identifier `GSE` suggests this dataset is part of the Gene Expression Omnibus (GEO), a repository for high-throughput gene expression data. This dataset is mentioned in the context of acquiring transcriptome data for embryonal brain tumors, indicating its role in supporting the comparative analyses within the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE122077,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122077,"Similar to GSE10327, this dataset identifier indicates it is part of the GEO repository. It is used in the study to provide additional transcriptome data for embryonal brain tumors, further supporting the integrated analysis of molecular features.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE70678,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70678,"This dataset, also identified by the `GSE` prefix, is part of the GEO repository. It contributes transcriptome data that is integrated into the analysis of embryonal brain tumors, reinforcing the study's findings.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE73038,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73038,"As with the other GSE datasets, this identifier indicates it belongs to the GEO repository. It is utilized in the study to gather transcriptome data for comprehensive analysis of embryonal brain tumors, thus supporting the research conclusions.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PDC000180,https://pdc.cancer.gov,"The identifier `PDC` indicates this dataset is part of the Pediatric Data Commons, which provides proteomic data for pediatric cancers. This dataset is referenced in the study for integrating proteome data of pediatric brain tumors, highlighting its importance in the comparative analysis.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
JPST002506,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,"The identifier `JPST002506` indicates that this dataset is part of the ProteomeXchange Consortium, which is a well-known repository for proteomic data. This dataset is crucial as it contains the MS/MS raw data and analysis related to the proteomics study conducted in the publication, supporting the findings on drug-resistant CCA cell lines.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST002506,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,"The identifier `PXD049309` is also associated with the ProteomeXchange Consortium, indicating that it contains relevant proteomic data. This dataset is essential for understanding the molecular mechanisms of drug resistance in cholangiocarcinoma, as it provides the experimental data that underpins the proteomics analysis discussed in the publication.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD047284,https://www.proteomexchange.org,"The identifier `PXD047284` indicates this dataset is part of the ProteomeXchange Consortium, which is a well-known repository for proteomics data. This dataset is mentioned in the context of mass spectrometry proteomics data related to the study of cancer-related alterations, thus supporting the research conclusions.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/
PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,"The dataset identifier `PXD042233` indicates that this dataset is part of the ProteomeXchange Consortium, specifically hosted on the PRIDE repository. This is a common repository for mass spectrometry-based proteomics data, aligning with the publication's focus on proteomics and imputation methods.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/
PXD043612,https://www.ebi.ac.uk/pride/archive/projects/PXD043612,"The identifier `PXD` indicates this dataset belongs to the PRIDE database, which is a well-known repository for proteomics data. This dataset is likely used to support the findings related to protein substitutions in lung cancer, as the publication focuses on proteomic analysis.",https://www.ebi.ac.uk/pride/archive/projects/PXD043612,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000234,https://pdc.cancer.gov/pdc/,"The identifier `PDC` signifies that this dataset is from the Proteomic Data Commons, which is relevant for cancer proteomics research. This dataset is mentioned in the context of analyzing arginine-to-cysteine substitutions in lung cancer, indicating its importance in the study.",https://pdc.cancer.gov/pdc/study/PDC000234,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000153,https://pdc.cancer.gov/pdc/,"Similar to PDC000234, this identifier indicates that the dataset is part of the Proteomic Data Commons. It is relevant to the research on lung adenocarcinoma and is likely used to analyze protein expression and modifications in the context of arginine deprivation.",https://pdc.cancer.gov/pdc/study/PDC000153,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
n/a,n/a,No additional datasets were explicitly identified in the publication that matched the known data repositories.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
IPX0004230000,http://www.iprox.org,"The identifier 'IPX' indicates this dataset is associated with the iProX repository, which is commonly used for proteomics data. The publication discusses proteomic profiling of small cell lung cancer, suggesting that this dataset is likely used to support the research findings related to proteomic subtyping and therapeutic targets.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/
n/a,n/a,No specific dataset identifiers were found in the publication. The publication mentions the analysis of FFPE samples and proteomic profiling but does not provide additional dataset identifiers or repository references.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/
PXD042991,https://www.ebi.ac.uk/pride/archive/projects/PXD042991,"The identifier `PXD` indicates this dataset is part of the PRIDE database, which is commonly used for proteomics data. The publication discusses a chemical proteomics analysis involving the molecule QAPHA, suggesting that this dataset directly supports the research conclusions regarding the effects of QAPHA on lung cancer cells.",https://www.ebi.ac.uk/pride/archive/projects/PXD042991,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015306/
MSV000092248,https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000092248,"The dataset identifier `MSV000092248` refers to a dataset available in the MassIVE repository, which is known for hosting proteomics data. The publication discusses a large resource of kinase-drug interactions derived from chemical proteomics, indicating that this dataset likely contains relevant data supporting the research conclusions.",https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092248,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
n/a,http://proteomecentral.proteomexchange.org,"The publication mentions that the proteomic data is available at the ProteomeXchange Consortium, which is a well-known platform for sharing proteomics data. However, no specific dataset identifier is provided, so it is marked as 'n/a'.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7ZWE,https://doi.org/10.2210/pdb7ZWE/pdb,"The identifier `7ZWE` corresponds to a crystal structure deposited in the Protein Data Bank (PDB). The publication discusses the structural basis for the selectivity of certain inhibitors, which suggests that this dataset is directly relevant to the findings of the study.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7A4Q,https://doi.org/10.2210/pdb7A4Q/pdb,"The identifier `7A4Q` is another crystal structure in the PDB, indicating its relevance to the structural analysis of kinase inhibitors discussed in the publication.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7ZWG,https://doi.org/10.2210/pdb7ZWG/pdb,The identifier `7ZWG` refers to a crystal structure that is relevant to the study's findings on CK2 inhibitors. This dataset supports the publication's exploration of the structural determinants of selectivity.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
