dataset_identifier,data_repository,dataset_webpage,source_url
PXD045268,https://www.ebi.ac.uk/pride/archive/projects/PXD045268,https://www.ebi.ac.uk/pride/archive/projects/PXD045268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE10327,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10327,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE122077,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122077,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE70678,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70678,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE73038,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73038,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PDC000180,https://pdc.cancer.gov,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
JPST002506,proteomecentral.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST002506,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD047284,https://www.proteomexchange.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/
PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/
n/a,https://github.com/RasmussenLab/pimms,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/
PDC000234,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000234,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000127,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000127,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000204,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000204,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000221,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000221,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000198,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000198,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000110,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000110,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000270,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000270,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000125,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000125,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000153,pdc.cancer.gov,https://pdc.cancer.gov/pdc/study/PDC000153,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PXD043612,www.ebi.ac.uk,https://www.ebi.ac.uk/pride/archive/projects/PXD043612,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
IPX0004230000,http://www.iprox.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/
PXD042991,https://www.ebi.ac.uk/pride/archive/projects/PXD042991,https://www.ebi.ac.uk/pride/archive/projects/PXD042991,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015306/
MSV000092248,https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000092248,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092248,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7ZWE,https://doi.org/10.2210/pdb7ZWE/pdb,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7A4Q,https://doi.org/10.2210/pdb7A4Q/pdb,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7ZWG,https://doi.org/10.2210/pdb7ZWG/pdb,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
