dataset_identifier,data_repository,dataset_webpage,source_url
MSV000092944,https://massive.ucsd.edu/,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/
NCT01226316,https://clinicaltrials.gov/ct2/show/NCT01226316,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
PXD052949,https://www.proteomexchange.org/,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
6077-6129,https://assays.cancer.gov/available_assays,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
GSE10327,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10327,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE122077,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122077,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE70678,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70678,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE73038,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73038,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PDC000180,https://pdc.cancer.gov,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PXD045268,www.proteomexchange.org,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD045268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
JPST002506,jPOST,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD047284,https://www.proteomexchange.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/
PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/
OP_040,Odense Patient Data Exploratory Network (open@rsyd.dk),na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/
PDC000234,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000127,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000204,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000221,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000198,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000110,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000270,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000125,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000153,https://proteomic.datacommons.cancer.gov/pdc/,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PXD043612,https://www.ebi.ac.uk/pride/archive/projects/PXD043612,https://www.ebi.ac.uk/pride/archive/projects/PXD043612,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
IPX0004230000,http://www.iprox.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/
PXD042991,https://www.ebi.ac.uk/pride/archive/projects/PXD042991,https://www.ebi.ac.uk/pride/archive/projects/PXD042991,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015306/
MSV000092248,https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000092248,https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092248,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
n/a,http://www.proteomicsdb.org,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7ZWE,https://doi.org/10.2210/pdb7ZWE/pdb,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7A4Q,https://doi.org/10.2210/pdb7A4Q/pdb,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
7ZWG,https://doi.org/10.2210/pdb7ZWG/pdb,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
