dataset_identifier,data_repository,decision_rationale,dataset_webpage,source_url
PRJNA306801,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA306801,"The dataset identifier PRJNA306801 is explicitly mentioned in the data availability section, indicating it is deposited in SRA, a known data repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6141466
phs001366.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001366.v1.p1,"The dataset identifier 'phs001366.v1.p1' is explicitly mentioned in the article as being deposited in dbGaP, a known data repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460863
EGAS00001000299,https://ega-archive.org/datasets/EGAS00001000299,"This dataset identifier is mentioned in the 'Data Access' section of the article, indicating that binary sequence alignment data and SNP array data were deposited in the European Genome-Phenome Archive (EGA).",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915822
phs001823.v1.p1,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001823.v1.p1,This dataset is explicitly mentioned in the publication as being used for RNA-seq and whole-exome sequencing performed by the Hamon Center.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
SRP052896,https://www.ncbi.nlm.nih.gov/sra?term=SRP052896,This dataset is mentioned as being downloaded from the Sequence Read Archive (SRA) and used for RNA-seq data processing.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
n/a,https://data.broadinstitute.org/ccle_legacy_data/mRNA_expression/,"The CCLE Legacy Data repository is mentioned in the context of mRNA expression data, but no specific dataset identifier is provided.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11061608
PXD029805,https://www.ebi.ac.uk/pride/archive/projects/PXD029805,This dataset identifier is mentioned in the Data Availability Statement and is associated with the ProteomeXchange Consortium via the PRIDE repository.,https://www.ebi.ac.uk/pride/archive/projects/PXD029805,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
PXD029821,https://www.ebi.ac.uk/pride/archive/projects/PXD029821,This dataset identifier is mentioned in the Data Availability Statement and is associated with the ProteomeXchange Consortium via the PRIDE repository.,https://www.ebi.ac.uk/pride/archive/projects/PXD029821,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9506422
PXD030304,http://pride:PXD030304,The dataset identifier PXD030304 is explicitly mentioned as being deposited in the Proteomics Identification Database (PRIDE) with this identifier.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,https://www.cancerrxgene.org/,"The URL is mentioned as the location where drug response measurements are available, but no specific dataset identifier is provided.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
n/a,https://doi.org/10.6084/m9.figshare.19345397,"The URL is mentioned as a location where additional datasets and analytical results are available, but no specific dataset identifier is provided.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9387775
GSE43346,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43346,"The dataset identifier 'GSE43346' is mentioned in the context of expression array data availability at GEO datasets, which is a known data repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665955
GSE138474,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138474,The dataset identifier GSE138474 is explicitly mentioned in the publication as the accession number for the single cell RNA-seq and Bulk RNA-seq data deposited in the NCBI Gene Expression Omnibus (GEO) database.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7842382
n/a,https://gygi.med.harvard.edu/publications/ccle,This URL is provided in the article as a source for accessing the data related to the Cancer Cell Line Encyclopedia (CCLE) proteomics study.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
n/a,https://depmap.org/portal/,"This URL is mentioned as a distribution point for the processed data from the study, indicating it is a repository for accessing the dataset.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7339254
PXD053567,http://www.ebi.ac.uk/pride/archive/,"The dataset identifier PXD053567 is explicitly mentioned in the data availability section of the article, indicating that the mass spectrometry proteomics data have been deposited to the PRIDE Archive with this identifier.",https://www.ebi.ac.uk/pride/archive/projects/PXD053567,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11252349/
MSV000092944,https://massive.ucsd.edu/,"The dataset identifier MSV000092944 is explicitly mentioned in the 'Data Availability Statement' section, indicating that the proteomics data can be found in the MassIVE database.",https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11425778/
PXD052949,https://www.proteomexchange.org/,"The dataset identifier PXD052949 is explicitly mentioned as being deposited to the ProteomeXchange Consortium via the PRIDE partner repository, which is a known data repository.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD052949,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/
GSE10327,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE10327,This dataset identifier is mentioned in the context of acquiring gene expression data from publicly available datasets.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE122077,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122077,This dataset identifier is mentioned in the context of acquiring gene expression data from publicly available datasets.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE70678,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70678,This dataset identifier is mentioned in the context of acquiring gene expression data from publicly available datasets.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
GSE73038,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73038,This dataset identifier is mentioned in the context of acquiring gene expression data from publicly available datasets.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PXD045268,https://www.ebi.ac.uk/pride/archive/projects/PXD045268,This dataset identifier is mentioned in the context of mass spectrometry proteomics data deposited to the ProteomeXchange Consortium via the PRIDE partner repository.,https://www.ebi.ac.uk/pride/archive/projects/PXD045268,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
PDC000180,https://pdc.cancer.gov,This dataset identifier is mentioned in the context of processed proteome data of pediatric brain tumors obtained from publicly available datasets.,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/
JPST002506,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,"The dataset identifier JPST002506 is mentioned in the article's data availability statement, indicating its relevance to the study's findings. The repository reference is provided as a link to the ProteomeXchange Consortium, which is a known data repository for proteomics data.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST002506,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,"The dataset identifier PXD049309 is mentioned in the article's data availability statement, indicating its relevance to the study's findings. The repository reference is provided as a link to the ProteomeXchange Consortium, which is a known data repository for proteomics data.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/
PXD047284,https://www.proteomexchange.org,"The dataset identifier PXD047284 is mentioned in the Data Availability Statement, indicating it is deposited in the ProteomeXchange Consortium via the PRIDE partner repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/
PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,"The dataset identifier PXD042233 is explicitly mentioned as being deposited to the ProteomeXchange Consortium via the PRIDE partner repository, which is a known data repository for proteomics data.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/
PXD043612,https://www.ebi.ac.uk/pride/archive/projects/PXD043612,"The dataset identifier 'PXD043612' is mentioned in the 'Deposited data' section of the article, indicating that mass spectrometry proteomics data have been deposited at the PRIDE repository.",https://www.ebi.ac.uk/pride/archive/projects/PXD043612,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000234,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000234' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000127,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000127' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000204,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000204' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000221,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000221' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000198,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000198' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000110,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000110' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000270,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000270' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000125,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000125' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
PDC000153,https://proteomic.datacommons.cancer.gov/pdc/,"The dataset identifier 'PDC000153' is mentioned in the 'Deposited data' section as part of the CPTAC datasets used in the study, and it is available at the PDC commons.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/
IPX0004230000,http://www.iprox.org,"The dataset identifier 'IPX0004230000' is explicitly mentioned in the 'Data availability' section, indicating that the data has been deposited in the iProX database, which is a known data repository.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/
PXD042991,https://www.ebi.ac.uk/pride/archive/projects/PXD042991,"The dataset identifier 'PXD042991' is mentioned in the context of proteomics data, which is typically stored in the PRIDE repository, a partner of ProteomeXchange.",https://www.ebi.ac.uk/pride/archive/projects/PXD042991,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11015306/
MSV000092248,https://massive.ucsd.edu/ProteoSAFe/QueryMSV?id=MSV000092248,"This dataset identifier is mentioned in the data availability section, indicating it is available on the MassIVE repository.",https://massive.ucsd.edu/ProteoSAFe/dataset.jsp?accession=MSV000092248,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
n/a,http://www.proteomicsdb.org,"ProteomicsDB is mentioned as a repository where the proteomic data is available, but no specific dataset identifier is provided.",na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11062922/
