dataset_identifier,data_repository,source_section,dataset_webpage,link,source_url,download_link,title,content_type,id,surrounding_text,description,file_extension
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,,,,,,pdf
,,supplementary material,,crc-24-0113_supplementary_methods_s1_suppsm1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,No Title,local-data,No ID,"Supplementary Methods S1 
         
           Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS","Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS",pdf
,,supplementary material,,crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,No Title,local-data,No ID,"Supplementary Validation Data S1 
         
           Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay",Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay,pdf
,,supplementary material,,crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,No Title,local-data,No ID,"Supplementary Validation Data S2 
         
           Quality Assessment of the Global Proteomics Data",Quality Assessment of the Global Proteomics Data,pdf
,,supplementary material,,crc-24-0113_supplementary_figure_s1_suppsf1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,No Title,local-data,No ID,"Supplementary Figure S1 
         
           Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score","Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score",pdf
,,supplementary material,,crc-24-0113_supplementary_figure_s2_suppsf2.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,No Title,local-data,No ID,"Supplementary Figure S2 
         
           Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score",Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score,pdf
,,supplementary material,,crc-24-0113_supplementary_figure_s3_suppsf3.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,No Title,local-data,No ID,"Supplementary Figure S3 
         
           Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples",Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples,pdf
,,supplementary material,,crc-24-0113_supplementary_figure_s4_suppsf4.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,No Title,local-data,No ID,"Supplementary Figure S4 
         
           Combination treatment of cell lines with capivasertib and an eIF2α inhibitor",Combination treatment of cell lines with capivasertib and an eIF2α inhibitor,pdf
,,supplementary material,,crc-24-0113_supplementary_table_s1_suppst1.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s1_suppst1.pdf,No Title,local-data,No ID,"Supplementary Table S1 
         
           Detailed results of the label-free quantitation",Detailed results of the label-free quantitation,pdf
,,supplementary material,,crc-24-0113_supplementary_table_s2_suppst2.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s2_suppst2.pdf,No Title,local-data,No ID,"Supplementary Table S2 
         
           Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples",Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples,pdf
,,supplementary material,,crc-24-0113_supplementary_table_s3_suppst3.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,No Title,local-data,No ID,"Supplementary Table S3 
         
           Detailed results of pathway mapping by Qiagen IPA",Detailed results of pathway mapping by Qiagen IPA,pdf
PXD045268,https://www.ebi.ac.uk/pride/archive/projects/PXD045268,data_availability,https://www.ebi.ac.uk/pride/archive/projects/PXD045268,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,,,,,,,
,,data_availability_elements,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11066909/#CIT0028,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/PMC11066909/#CIT0028,,,,,,
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s1.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s1.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s2.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s2.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s3.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s3.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s4.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s4.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s5.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s5.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s6.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s6.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s7.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s7.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s8.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s8.jpeg,,,,,,jpeg
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,,,,,,xlsx
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,,,,,,xlsx
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,,,,,,xlsx
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,,,,,,xlsx
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,,,,,,xlsx
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,,,,,,xlsx
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,,,,,,xlsx
,,supplementary material,,noad265_suppl_supplementary_figure_s1.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s1.jpeg,No Title,local-data,sup1,noad265_suppl_Supplementary_Figure_S1,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s2.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s2.jpeg,No Title,local-data,sup2,noad265_suppl_Supplementary_Figure_S2,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s3.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s3.jpeg,No Title,local-data,sup3,noad265_suppl_Supplementary_Figure_S3,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s4.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s4.jpeg,No Title,local-data,sup4,noad265_suppl_Supplementary_Figure_S4,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s5.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s5.jpeg,No Title,local-data,sup5,noad265_suppl_Supplementary_Figure_S5,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s6.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s6.jpeg,No Title,local-data,sup6,noad265_suppl_Supplementary_Figure_S6,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s7.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s7.jpeg,No Title,local-data,sup7,noad265_suppl_Supplementary_Figure_S7,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_figure_s8.jpeg,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_figure_s8.jpeg,No Title,local-data,sup8,noad265_suppl_Supplementary_Figure_S8,No description,jpeg
,,supplementary material,,noad265_suppl_supplementary_table_s1.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,No Title,local-data,sup9,noad265_suppl_Supplementary_Table_S1,No description,xlsx
,,supplementary material,,noad265_suppl_supplementary_table_s2.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,No Title,local-data,sup10,noad265_suppl_Supplementary_Table_S2,No description,xlsx
,,supplementary material,,noad265_suppl_supplementary_table_s3.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,No Title,local-data,sup11,noad265_suppl_Supplementary_Table_S3,No description,xlsx
,,supplementary material,,noad265_suppl_supplementary_table_s4.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,No Title,local-data,sup12,noad265_suppl_Supplementary_Table_S4,No description,xlsx
,,supplementary material,,noad265_suppl_supplementary_table_s5.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,No Title,local-data,sup13,noad265_suppl_Supplementary_Table_S5,No description,xlsx
,,supplementary material,,noad265_suppl_supplementary_table_s6.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,No Title,local-data,sup14,noad265_suppl_Supplementary_Table_S6,No description,xlsx
,,supplementary material,,noad265_suppl_supplementary_table_s7.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,No Title,local-data,sup15,noad265_suppl_Supplementary_Table_S7,No description,xlsx
JPST002506,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,data_availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST002506,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,,,
,,data_availability_elements,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11352417/#app1-biomolecules-14-00969,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/https://pmc.ncbi.nlm.nih.gov/articles/PMC11352417/#app1-biomolecules-14-00969,,,,,,
,,data_availability_elements,,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,,,,,,
PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,,,
,,supplementary_data_elements,,https://www.mdpi.com/article/10.3390/biom14080969/s1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/https://www.mdpi.com/article/10.3390/biom14080969/s1,,,,,,
,,supplementary_data_elements,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/biomolecules-14-00969-s001.zip,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/biomolecules-14-00969-s001.zip,,,,,,zip
,,supplementary material,,biomolecules-14-00969-s001.zip,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/biomolecules-14-00969-s001.zip,No Title,local-data,biomolecules-14-00969-s001,,No description,zip
PXD047284,https://www.proteomexchange.org,data_availability,na,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,,,,,,,
,,data_availability_elements,,https://www.proteomexchange.org/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,https://pmc.ncbi.nlm.nih.gov/articles/instance/10855131/bin/https://www.proteomexchange.org/,,,,,,
PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data_availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,,,,,,,
,,supplementary material,,41467_2024_48711_MOESM1_ESM.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM1_ESM.pdf,No Title,local-data,MOESM1,Supplementary Information,Supplementary Information,pdf
,,supplementary material,,41467_2024_48711_MOESM2_ESM.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM2_ESM.pdf,No Title,local-data,MOESM2,Reporting Summary,Reporting Summary,pdf
,,supplementary material,,41467_2024_48711_MOESM3_ESM.pdf,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM3_ESM.pdf,No Title,local-data,MOESM3,Peer Review File,Peer Review File,pdf
,,supplementary material,,41467_2024_48711_MOESM4_ESM.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM4_ESM.xlsx,No Title,local-data,MOESM4,Supplementary Data 1,Supplementary Data 1,xlsx
,,supplementary material,,41467_2024_48711_MOESM5_ESM.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM5_ESM.xlsx,No Title,local-data,MOESM5,Supplementary Data 2,Supplementary Data 2,xlsx
,,supplementary material,,41467_2024_48711_MOESM6_ESM.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM6_ESM.xlsx,No Title,local-data,MOESM6,Supplementary Data 3,Supplementary Data 3,xlsx
,,supplementary material,,41467_2024_48711_MOESM7_ESM.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM7_ESM.xlsx,No Title,local-data,MOESM7,Supplementary Data 4,Supplementary Data 4,xlsx
,,supplementary material,,41467_2024_48711_MOESM8_ESM.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM8_ESM.xlsx,No Title,local-data,MOESM8,Supplementary Data 5,Supplementary Data 5,xlsx
,,supplementary material,,41467_2024_48711_MOESM9_ESM.xlsx,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM9_ESM.xlsx,No Title,local-data,MOESM9,Supplementary Data 6,Supplementary Data 6,xlsx
