link,source_section,source_url,surrounding_text,download_link,file_extension,content_type,dataset_identifier,data_repository,dataset_webpage,title,id,description
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990#SD2,data availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,,,data_link,phs003416.v1.p1,https://www.ncbi.nlm.nih.gov/gap/,na,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Data_S1.csv,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Data_S1.csv,csv,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Data_S2.csv,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Data_S2.csv,csv,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Table_S1.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Table_S1.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Table_S2.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Table_S2.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Table_S3.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,,https://pmc.ncbi.nlm.nih.gov/articles/instance/11178430/bin/EMS195999-supplement-Table_S3.xlsx,xlsx,,,,,,,
EMS195999-supplement-Data_S1.csv,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,"Data S1 
         
           RNA-seq data of cohort 1, related to Figure 1.",https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Data_S1.csv,csv,local-data,,,,"RNA-seq data of cohort 1, related to Figure 1.",SD1,No description
EMS195999-supplement-Data_S2.csv,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,"Data S2 
         
           RNA-seq data of cohort 2, related to Figure 2.",https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Data_S2.csv,csv,local-data,,,,"RNA-seq data of cohort 2, related to Figure 2.",SD2,No description
EMS195999-supplement-Table_S1.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,Table S1,https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Table_S1.xlsx,xlsx,local-data,,,,No Title,SD4,No description
EMS195999-supplement-Table_S2.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,Table S2,https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Table_S2.xlsx,xlsx,local-data,,,,No Title,SD5,No description
EMS195999-supplement-Table_S3.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,Table S3,https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Table_S3.xlsx,xlsx,local-data,,,,No Title,SD6,No description
EMS195999-supplement-Data_S1.csv,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,"Data S1 
         
           RNA-seq data of cohort 1, related to Figure 1.",https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Data_S1.csv,csv,local-data,,,,"RNA-seq data of cohort 1, related to Figure 1.",SD1,No description
EMS195999-supplement-Data_S2.csv,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,"Data S2 
         
           RNA-seq data of cohort 2, related to Figure 2.",https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Data_S2.csv,csv,local-data,,,,"RNA-seq data of cohort 2, related to Figure 2.",SD2,No description
EMS195999-supplement-Table_S1.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,Table S1,https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Table_S1.xlsx,xlsx,local-data,,,,No Title,SD4,No description
EMS195999-supplement-Table_S2.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,Table S2,https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Table_S2.xlsx,xlsx,local-data,,,,No Title,SD5,No description
EMS195999-supplement-Table_S3.xlsx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10982990,Table S3,https://pmc.ncbi.nlm.nih.gov/articles/instance/10982990/bin/EMS195999-supplement-Table_S3.xlsx,xlsx,local-data,,,,No Title,SD6,No description
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-2.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-2.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-3.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-3.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-4.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-4.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-5.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-5.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-6.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-6.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-7.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-7.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-8.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-8.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-9.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-9.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-10.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-10.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-11.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-11.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-12.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-12.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-13.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-13.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-14.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-14.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-15.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-15.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-16.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-16.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-17.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-17.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-18.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-18.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-19.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-19.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-20.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-20.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-21.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-21.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-22.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-22.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-23.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-23.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-24.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-24.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-25.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-25.xlsx,xlsx,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-26.gmt,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-26.gmt,gmt,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-27.gmt,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8628860,,https://pmc.ncbi.nlm.nih.gov/articles/instance/8628860/bin/NIHMS1754019-supplement-27.gmt,gmt,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/3557461/bin/NIHMS426385-supplement-Suppl_Tables.xls,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3557461,,https://pmc.ncbi.nlm.nih.gov/articles/instance/3557461/bin/NIHMS426385-supplement-Suppl_Tables.xls,xls,,,,,,,
https://pmc.ncbi.nlm.nih.gov/articles/instance/5313262/bin/NIHMS845798-supplement-2.xlsx,supplementary_data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5313262,,https://pmc.ncbi.nlm.nih.gov/articles/instance/5313262/bin/NIHMS845798-supplement-2.xlsx,xlsx,,,,,,,
http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,data_availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,cgi?acc=GSE60052,,,,,,,
http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,data_availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,,http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,p1,,,,,,,
http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,data_availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60052,cgi?acc=GSE60052,,,,,,,
http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,data_availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,,http://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001083.v1.p1,p1,,,,,,,
pgen.1005895.s001.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S1 Fig 
         
           Genomic alterations in Chinese SCLC patients. 
           Tumor samples (n = 99) are ordered from left to right based on SRSF1 copy number gains. Mutations and DNA copy number alterations of key SCLC oncogenic genes are indicated for each sample according to the color legend below the figure. The genomic alteration frequencies for each candidate gene are displayed on the left. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s001.docx,docx,local-data,,,,Genomic alterations in Chinese SCLC patients.,pgen.1005895.s001,Tumor samples (n = 99) are ordered from left to right based on SRSF1 copy number gains. Mutations and DNA copy number alterations of key SCLC oncogenic genes are indicated for each sample according to the color legend below the figure. The genomic alteration frequencies for each candidate gene are displayed on the left.
pgen.1005895.s002.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S2 Fig 
         
           SRSF1 gene copy number detection by FISH. 
           Representative images show a) SRSF1 normal and b) SRSF1 copy number gain. Red signals represent SRSF1 gene and green signals represent of CEP17; c) SRSF1 CNV SCLC patient prevalence as well as other CNV segments across chromosome 17. Red lines indicate CN gains and green lines indicate CN losses. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s002.docx,docx,local-data,,,,SRSF1 gene copy number detection by FISH.,pgen.1005895.s002,Representative images show a) SRSF1 normal and b) SRSF1 copy number gain. Red signals represent SRSF1 gene and green signals represent of CEP17; c) SRSF1 CNV SCLC patient prevalence as well as other CNV segments across chromosome 17. Red lines indicate CN gains and green lines indicate CN losses.
pgen.1005895.s003.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S3 Fig 
         
           KM curves from indications in TCGA where at least 3 patients harbored a CN gain of SRSF1. 
           Plots were generated in OncoLand (OmicSoft Corp; Cary, NC). 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s003.docx,docx,local-data,,,,KM curves from indications in TCGA where at least 3 patients harbored a CN gain of SRSF1.,pgen.1005895.s003,"Plots were generated in OncoLand (OmicSoft Corp; Cary, NC)."
pgen.1005895.s004.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S4 Fig 
         
           (a): TaqMan assays of SRSF1 DNA CNs in 13 SCLC cell lines. (b): Western blots of SRSF1 show protein expression levels in SCLC cell lines. (c):NCI-H82, SHP-77 and NCI-H1048 were transfected with non-targeting control or SRSF1-directed siRNAs for 48 hrs, then treated with cisplatin (2.5ug/ml) or topotecan (2.5ug/ml) for 24 hrs. Cell growth and Caspase-3/7 activities were assessed and normalized against ctrl siRNA-transfected cells as 100% control. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s004.docx,docx,local-data,,,,No Title,pgen.1005895.s004,"(a): TaqMan assays of SRSF1 DNA CNs in 13 SCLC cell lines. (b): Western blots of SRSF1 show protein expression levels in SCLC cell lines. (c):NCI-H82, SHP-77 and NCI-H1048 were transfected with non-targeting control or SRSF1-directed siRNAs for 48 hrs, then treated with cisplatin (2.5ug/ml) or topotecan (2.5ug/ml) for 24 hrs. Cell growth and Caspase-3/7 activities were assessed and normalized against ctrl siRNA-transfected cells as 100% control."
pgen.1005895.s005.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S5 Fig 
         
           The association of SRSF1 gene expression with BIM gene expression in Chinese SCLC patients (N = 49). 
           The correlation between SRSF1 and BIM gene expression is significant, which likely confirms SRSF1 over expression promotes alternative splicing of BIM. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s005.docx,docx,local-data,,,,The association of SRSF1 gene expression with BIM gene expression in Chinese SCLC patients (N = 49).,pgen.1005895.s005,"The correlation between SRSF1 and BIM gene expression is significant, which likely confirms SRSF1 over expression promotes alternative splicing of BIM."
pgen.1005895.s006.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S6 Fig 
         
           NCI-82, SHP-77 and NIH-H1048 cells were transfected with non-targeting and SRSF1 siRNAs respectively for 48 hrs and then seeded in sphere forming media and allowed to grow for 4 days. 
           (a): Phase-contrast images of the sphere formation under each condition were captured. (b): viable cell mass quantitated by CTG assay. (c): Reconstitution of SRSF1 expression using a siRNA-resistant Flag-tagged SRSF1 expression construct was carried out in SRSF1 siRNA transfected NCI-H82 cells. Impact on sphere growth rate was assessed by CTG assay, and successful SRSF1 protein re-expression was confirmed by WB using either anti-SRSF1 antibody or anti-Flag antibody. (d): Clonogenic assays of DMS-114, NCI-82, SHP-77 and NIH-H1049. Cells were transfected with siRNAs for 48 hrs and then seeded in the methylcellulose medium for 7~14 days, colonies with more than 40 cells per colony were counted. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s006.docx,docx,local-data,,,,"NCI-82, SHP-77 and NIH-H1048 cells were transfected with non-targeting and SRSF1 siRNAs respectively for 48 hrs and then seeded in sphere forming media and allowed to grow for 4 days.",pgen.1005895.s006,"(a): Phase-contrast images of the sphere formation under each condition were captured. (b): viable cell mass quantitated by CTG assay. (c): Reconstitution of SRSF1 expression using a siRNA-resistant Flag-tagged SRSF1 expression construct was carried out in SRSF1 siRNA transfected NCI-H82 cells. Impact on sphere growth rate was assessed by CTG assay, and successful SRSF1 protein re-expression was confirmed by WB using either anti-SRSF1 antibody or anti-Flag antibody. (d): Clonogenic assays of DMS-114, NCI-82, SHP-77 and NIH-H1049. Cells were transfected with siRNAs for 48 hrs and then seeded in the methylcellulose medium for 7~14 days, colonies with more than 40 cells per colony were counted."
pgen.1005895.s007.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S7 Fig 
         
           (a)SHP-77 cells transfected with non-targeting control siRNA or SRSF1 siRNA were implanted into immunocompromised mice and tumor formation rates were monitored and measured. (b): SHP-77 cells were transfected with control or SRSF1 siRNA and then treated with topotecan or Cisplatin for the indicated times. SRSF1, phosphor-H2AX and phosphor-Chk2 were probed with their corresponding antibodies. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s007.docx,docx,local-data,,,,No Title,pgen.1005895.s007,"(a)SHP-77 cells transfected with non-targeting control siRNA or SRSF1 siRNA were implanted into immunocompromised mice and tumor formation rates were monitored and measured. (b): SHP-77 cells were transfected with control or SRSF1 siRNA and then treated with topotecan or Cisplatin for the indicated times. SRSF1, phosphor-H2AX and phosphor-Chk2 were probed with their corresponding antibodies."
pgen.1005895.s008.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S8 Fig 
         
           The association of SRSF1 gene expression with early stage and late stage (ES) SCLC patients in both our Chinese SCLC study (left figure) and George et al, study (right figure). 
           P-value is calculated using Welch’s modified t-test. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s008.docx,docx,local-data,,,,"The association of SRSF1 gene expression with early stage and late stage (ES) SCLC patients in both our Chinese SCLC study (left figure) and George et al, study (right figure).",pgen.1005895.s008,P-value is calculated using Welch’s modified t-test.
pgen.1005895.s009.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S9 Fig 
         
           The association of SRSF1 gene expression with MYC CNV status. 
           SCLC cell lines (left figure, N = 11) and our Chinese SCLC study (right figure, N = 49 patients with matched expression and CNV samples). P-value is estimated using standard t-test. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s009.docx,docx,local-data,,,,The association of SRSF1 gene expression with MYC CNV status.,pgen.1005895.s009,"SCLC cell lines (left figure, N = 11) and our Chinese SCLC study (right figure, N = 49 patients with matched expression and CNV samples). P-value is estimated using standard t-test."
pgen.1005895.s010.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S10 Fig 
         
           Identity check between matched SCLC tumor and normal specimens. 
           Pearson correlation heatmap is used to compare 300 germline SNP profiles between each of the 25 tumors and matched normals. Gradient of colors: green = no correlation; yellow = low correlation; white = high correlation. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s010.docx,docx,local-data,,,,Identity check between matched SCLC tumor and normal specimens.,pgen.1005895.s010,Pearson correlation heatmap is used to compare 300 germline SNP profiles between each of the 25 tumors and matched normals. Gradient of colors: green = no correlation; yellow = low correlation; white = high correlation.
pgen.1005895.s011.docx,supplementary material,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4836692,"S11 Fig 
         
           Tumor growth curves for DMS114 and SHP77 parental cell lines. 
           A total of 5–10 millioins cells were injected to establish xenograft tumors. 
           (DOCX) 
         
         
           
             Click here for additional data file.",https://pmc.ncbi.nlm.nih.gov/articles/instance/4836692/bin/pgen.1005895.s011.docx,docx,local-data,,,,Tumor growth curves for DMS114 and SHP77 parental cell lines.,pgen.1005895.s011,A total of 5–10 millioins cells were injected to establish xenograft tumors.
