link,content_type,dataset_identifier,data_repository,source_section,dataset_page,source_url,download_link,title,id,surrounding_text,description
crc-24-0113_supplementary_table_s3_suppst3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,No Title,No ID,"Supplementary Table S3 
         
           Detailed results of pathway mapping by Qiagen IPA",Detailed results of pathway mapping by Qiagen IPA
noad265_suppl_supplementary_figure_s1.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s1.jpeg,No Title,sup1,noad265_suppl_Supplementary_Figure_S1,No description
noad265_suppl_supplementary_figure_s2.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s2.jpeg,No Title,sup2,noad265_suppl_Supplementary_Figure_S2,No description
noad265_suppl_supplementary_figure_s3.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s3.jpeg,No Title,sup3,noad265_suppl_Supplementary_Figure_S3,No description
noad265_suppl_supplementary_figure_s4.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s4.jpeg,No Title,sup4,noad265_suppl_Supplementary_Figure_S4,No description
noad265_suppl_supplementary_figure_s5.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s5.jpeg,No Title,sup5,noad265_suppl_Supplementary_Figure_S5,No description
noad265_suppl_supplementary_figure_s6.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s6.jpeg,No Title,sup6,noad265_suppl_Supplementary_Figure_S6,No description
noad265_suppl_supplementary_figure_s7.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s7.jpeg,No Title,sup7,noad265_suppl_Supplementary_Figure_S7,No description
noad265_suppl_supplementary_figure_s8.jpeg,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_figure_s8.jpeg,No Title,sup8,noad265_suppl_Supplementary_Figure_S8,No description
noad265_suppl_supplementary_table_s1.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s1.xlsx,No Title,sup9,noad265_suppl_Supplementary_Table_S1,No description
noad265_suppl_supplementary_table_s2.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s2.xlsx,No Title,sup10,noad265_suppl_Supplementary_Table_S2,No description
noad265_suppl_supplementary_table_s3.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s3.xlsx,No Title,sup11,noad265_suppl_Supplementary_Table_S3,No description
noad265_suppl_supplementary_table_s4.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s4.xlsx,No Title,sup12,noad265_suppl_Supplementary_Table_S4,No description
noad265_suppl_supplementary_table_s5.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s5.xlsx,No Title,sup13,noad265_suppl_Supplementary_Table_S5,No description
noad265_suppl_supplementary_table_s6.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s6.xlsx,No Title,sup14,noad265_suppl_Supplementary_Table_S6,No description
noad265_suppl_supplementary_table_s7.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11066909/bin/noad265_suppl_supplementary_table_s7.xlsx,No Title,sup15,noad265_suppl_Supplementary_Table_S7,No description
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/#app1-biomolecules-14-00969,data_link,JPST002506,ProteomeXchangeConsortiumviathejPOSTpartnerrepositorywiththedatasetidentifierJPST002506andPXD049309,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,
