link,content_type,dataset_identifier,data_repository,source_section,dataset_webpage,source_url,download_link,title,id,surrounding_text,description
crc-24-0113_supplementary_figure_s2_suppsf2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,No Title,No ID,"Supplementary Figure S2 
         
           Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score",Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score
crc-24-0113_supplementary_figure_s3_suppsf3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,No Title,No ID,"Supplementary Figure S3 
         
           Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples",Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples
crc-24-0113_supplementary_figure_s4_suppsf4.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,No Title,No ID,"Supplementary Figure S4 
         
           Combination treatment of cell lines with capivasertib and an eIF2α inhibitor",Combination treatment of cell lines with capivasertib and an eIF2α inhibitor
crc-24-0113_supplementary_table_s1_suppst1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s1_suppst1.pdf,No Title,No ID,"Supplementary Table S1 
         
           Detailed results of the label-free quantitation",Detailed results of the label-free quantitation
crc-24-0113_supplementary_table_s2_suppst2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s2_suppst2.pdf,No Title,No ID,"Supplementary Table S2 
         
           Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples",Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples
crc-24-0113_supplementary_table_s3_suppst3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,No Title,No ID,"Supplementary Table S3 
         
           Detailed results of pathway mapping by Qiagen IPA",Detailed results of pathway mapping by Qiagen IPA
crc-24-0113_supplementary_methods_s1_suppsm1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_methods_s1_suppsm1.pdf,No Title,No ID,"Supplementary Methods S1 
         
           Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS","Supplemental Materials and Methods concerning patient samples, cell lines, tissue culture, iMALDI-MS, Nano-LC-Orbitrap-MS, LC-MRM-MS"
crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s1_suppsd1.pdf,No Title,No ID,"Supplementary Validation Data S1 
         
           Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay",Supplementary Validation Data demonstrating the performance of the iMALDI-MS assay
crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_validation_data_s2_suppsd2.pdf,No Title,No ID,"Supplementary Validation Data S2 
         
           Quality Assessment of the Global Proteomics Data",Quality Assessment of the Global Proteomics Data
crc-24-0113_supplementary_figure_s1_suppsf1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s1_suppsf1.pdf,No Title,No ID,"Supplementary Figure S1 
         
           Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score","Individual protein concentrations measured by iMALDI-MS for each sample, comparison of measured PTEN concentration to IHC H-score"
crc-24-0113_supplementary_figure_s2_suppsf2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s2_suppsf2.pdf,No Title,No ID,"Supplementary Figure S2 
         
           Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score",Individual protein concentrations measured by iMALDI-MS for PTEN vs. IHC H-score
crc-24-0113_supplementary_figure_s3_suppsf3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s3_suppsf3.pdf,No Title,No ID,"Supplementary Figure S3 
         
           Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples",Comparison of iMALDI and Global Proteomics results for primary vs metastatic samples
crc-24-0113_supplementary_figure_s4_suppsf4.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_figure_s4_suppsf4.pdf,No Title,No ID,"Supplementary Figure S4 
         
           Combination treatment of cell lines with capivasertib and an eIF2α inhibitor",Combination treatment of cell lines with capivasertib and an eIF2α inhibitor
crc-24-0113_supplementary_table_s1_suppst1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s1_suppst1.pdf,No Title,No ID,"Supplementary Table S1 
         
           Detailed results of the label-free quantitation",Detailed results of the label-free quantitation
crc-24-0113_supplementary_table_s2_suppst2.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s2_suppst2.pdf,No Title,No ID,"Supplementary Table S2 
         
           Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples",Proteins expression differences between capivasertib-resistant vs. capivasertib-sensitive cells quantified by validated MRM-MS assays as compared to the profile observed in patient samples
crc-24-0113_supplementary_table_s3_suppst3.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11320025/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11320025/bin/crc-24-0113_supplementary_table_s3_suppst3.pdf,No Title,No ID,"Supplementary Table S3 
         
           Detailed results of pathway mapping by Qiagen IPA",Detailed results of pathway mapping by Qiagen IPA
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/#app1-biomolecules-14-00969,data_link,JPST002506,https://proteomecentral.proteomexchange.org/cgi/GetDataset(viajPOSTpartnerrepository),data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=JPST002506,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/#app1-biomolecules-14-00969,data_link,PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset(viajPOSTpartnerrepository),data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,,
n/a,,PXD049309,proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,data availability from webpage,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,"Data Availability Statement
All data generated or analyzed during this study are included in this published article and its Supplementary Information Files. The MS/MS raw data and analysis have been deposited in the ProteomeXchange Consortium via the jPOST partner repository with the data set identifier JPST002506 and PXD049309 (https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309, accessed on 29 July 2024).",
n/a,,PXD049309,proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,data availability from webpage,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,"Data Availability Statement
All data generated or analyzed during this study are included in this published article and its Supplementary Information Files. The MS/MS raw data and analysis have been deposited in the ProteomeXchange Consortium via the jPOST partner repository with the data set identifier JPST002506 and PXD049309 (https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309, accessed on 29 July 2024).",
biomolecules-14-00969-s001.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/biomolecules-14-00969-s001.zip,No Title,biomolecules-14-00969-s001,,No description
n/a,,10.6019/PXD047284,https://www.proteomexchange.org/PXD047284,data availability from webpage,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=10.6019/PXD047284,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,,,,"Data Availability Statement
The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE partner repository with the dataset identifier PXD047284 and 10.6019/PXD047284 (https://www.proteomexchange.org, accessed on 1 January 2024).",
n/a,,10.6019/PXD047284,https://www.proteomexchange.org/PXD047284,data availability from webpage,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=10.6019/PXD047284,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,,,,"Data Availability Statement
The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE partner repository with the dataset identifier PXD047284 and 10.6019/PXD047284 (https://www.proteomexchange.org, accessed on 1 January 2024).",
http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data_link,PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/#Sec26,data_link,PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,,,,,
41467_2024_48711_MOESM1_ESM.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM1_ESM.pdf,No Title,MOESM1,Supplementary Information,Supplementary Information
41467_2024_48711_MOESM2_ESM.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM2_ESM.pdf,No Title,MOESM2,Reporting Summary,Reporting Summary
41467_2024_48711_MOESM3_ESM.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM3_ESM.pdf,No Title,MOESM3,Peer Review File,Peer Review File
41467_2024_48711_MOESM4_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM4_ESM.xlsx,No Title,MOESM4,Supplementary Data 1,Supplementary Data 1
41467_2024_48711_MOESM5_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM5_ESM.xlsx,No Title,MOESM5,Supplementary Data 2,Supplementary Data 2
41467_2024_48711_MOESM6_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM6_ESM.xlsx,No Title,MOESM6,Supplementary Data 3,Supplementary Data 3
41467_2024_48711_MOESM7_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM7_ESM.xlsx,No Title,MOESM7,Supplementary Data 4,Supplementary Data 4
41467_2024_48711_MOESM8_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM8_ESM.xlsx,No Title,MOESM8,Supplementary Data 5,Supplementary Data 5
41467_2024_48711_MOESM9_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM9_ESM.xlsx,No Title,MOESM9,Supplementary Data 6,Supplementary Data 6
41467_2024_48711_MOESM10_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM10_ESM.xlsx,No Title,MOESM10,Supplementary Data 7,Supplementary Data 7
41467_2024_48711_MOESM11_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM11_ESM.xlsx,No Title,MOESM11,Supplementary Data 8,Supplementary Data 8
41467_2024_48711_MOESM12_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM12_ESM.xlsx,No Title,MOESM12,Supplementary Data 9,Supplementary Data 9
41467_2024_48711_MOESM13_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM13_ESM.xlsx,No Title,MOESM13,Supplementary Data 10,Supplementary Data 10
41467_2024_48711_MOESM14_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM14_ESM.xlsx,No Title,MOESM14,Supplementary Data 11,Supplementary Data 11
41467_2024_48711_MOESM15_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM15_ESM.xlsx,No Title,MOESM15,Supplementary Data 12,Supplementary Data 12
41467_2024_48711_MOESM16_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM16_ESM.xlsx,No Title,MOESM16,Supplementary Data 13,Supplementary Data 13
41467_2024_48711_MOESM17_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM17_ESM.xlsx,No Title,MOESM17,Supplementary Data 14,Supplementary Data 14
41467_2024_48711_MOESM18_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM18_ESM.xlsx,No Title,MOESM18,Source Data,Source Data
41467_2024_48711_MOESM1_ESM.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM1_ESM.pdf,No Title,MOESM1,Supplementary Information,Supplementary Information
41467_2024_48711_MOESM2_ESM.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM2_ESM.pdf,No Title,MOESM2,Reporting Summary,Reporting Summary
41467_2024_48711_MOESM3_ESM.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM3_ESM.pdf,No Title,MOESM3,Peer Review File,Peer Review File
41467_2024_48711_MOESM4_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM4_ESM.xlsx,No Title,MOESM4,Supplementary Data 1,Supplementary Data 1
41467_2024_48711_MOESM5_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM5_ESM.xlsx,No Title,MOESM5,Supplementary Data 2,Supplementary Data 2
41467_2024_48711_MOESM6_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM6_ESM.xlsx,No Title,MOESM6,Supplementary Data 3,Supplementary Data 3
41467_2024_48711_MOESM7_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM7_ESM.xlsx,No Title,MOESM7,Supplementary Data 4,Supplementary Data 4
41467_2024_48711_MOESM8_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM8_ESM.xlsx,No Title,MOESM8,Supplementary Data 5,Supplementary Data 5
41467_2024_48711_MOESM9_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM9_ESM.xlsx,No Title,MOESM9,Supplementary Data 6,Supplementary Data 6
41467_2024_48711_MOESM10_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM10_ESM.xlsx,No Title,MOESM10,Supplementary Data 7,Supplementary Data 7
41467_2024_48711_MOESM11_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM11_ESM.xlsx,No Title,MOESM11,Supplementary Data 8,Supplementary Data 8
41467_2024_48711_MOESM12_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM12_ESM.xlsx,No Title,MOESM12,Supplementary Data 9,Supplementary Data 9
41467_2024_48711_MOESM13_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM13_ESM.xlsx,No Title,MOESM13,Supplementary Data 10,Supplementary Data 10
41467_2024_48711_MOESM14_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM14_ESM.xlsx,No Title,MOESM14,Supplementary Data 11,Supplementary Data 11
41467_2024_48711_MOESM15_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM15_ESM.xlsx,No Title,MOESM15,Supplementary Data 12,Supplementary Data 12
41467_2024_48711_MOESM16_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM16_ESM.xlsx,No Title,MOESM16,Supplementary Data 13,Supplementary Data 13
41467_2024_48711_MOESM17_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM17_ESM.xlsx,No Title,MOESM17,Supplementary Data 14,Supplementary Data 14
41467_2024_48711_MOESM18_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM18_ESM.xlsx,No Title,MOESM18,Source Data,Source Data
https://pdc.cancer.gov/pdc/,data_link,PDC IDs,https://pdc.cancer.gov/pdc/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.1,data_link,PDC IDs,https://pdc.cancer.gov/pdc/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.1,data_link,PDC IDs,https://pdc.cancer.gov/pmc/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.1,data_link,Mendeley Data,https://data.mendeley.com/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.2.1,data_link,No identifier,Norepositorylink,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,
mmc1.pdf,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc1.pdf,Document S1. Figures S1–S6,mmc1,Document S1. Figures S1–S6,No description
mmc2.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc2.zip,File S1. Detailed Philosopher parameters for substitutant library scanning,mmc2,File S1. Detailed Philosopher parameters for substitutant library scanning,No description
