link,dataset_identifier,data_repository,classification,dataset_page,source_url,download_link,title,content_type,id,surrounding_text,description,class
mmc9.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc9.xlsx,Supplementary Table S2,local-data,m0075,Supplementary Table S2,No description,supplementary material
mmc10.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc10.xlsx,Supplementary Table S3,local-data,m0070,Supplementary Table S3,No description,supplementary material
mmc11.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc11.xlsx,Supplementary Table S4,local-data,m0065,Supplementary Table S4,No description,supplementary material
mmc12.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc12.xlsx,Supplementary Table S5,local-data,m0060,Supplementary Table S5,No description,supplementary material
mmc13.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc13.xlsx,Supplementary Table S6,local-data,m0055,Supplementary Table S6,No description,supplementary material
mmc14.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc14.xlsx,Supplementary Table S7,local-data,m0050,Supplementary Table S7,No description,supplementary material
mmc15.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc15.xlsx,Supplementary Table S8,local-data,m0045,Supplementary Table S8,No description,supplementary material
mmc16.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc16.xlsx,Supplementary Table S9,local-data,m0040,Supplementary Table S9,No description,supplementary material
mmc17.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc17.xlsx,Supplementary Table S10,local-data,m0035,Supplementary Table S10,No description,supplementary material
mmc18.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc18.xlsx,Supplementary Table S11,local-data,m0030,Supplementary Table S11,No description,supplementary material
mmc19.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc19.xlsx,Supplementary Table S12,local-data,m0025,Supplementary Table S12,No description,supplementary material
mmc20.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc20.xlsx,Supplementary Table S13,local-data,m0020,Supplementary Table S13,No description,supplementary material
mmc21.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc21.xlsx,Supplementary Table S14,local-data,m0015,Supplementary Table S14,No description,supplementary material
mmc22.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc22.xlsx,Supplementary Table S15,local-data,m0010,Supplementary Table S15,No description,supplementary material
mmc23.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7801210/bin/mmc23.xlsx,Supplementary Table S16,local-data,m0005,Supplementary Table S16,No description,supplementary material
http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038214,PXD038214, http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038214  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
https://www.iprox.cn/page/project.html?id=IPX0004428000,PXD038214, http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038214  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038188,PXD038188, http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038188  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
https://www.iprox.cn/page/project.html?id=IPX0004819000,PXD038188, http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038188  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
https://ngdc.cncb.ac.cn/gsa-human/,HRA002466, https://ngdc.cncb.ac.cn/gsa-human/  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
https://portal.gdc.cancer.gov/,TCGA-STAD, https://portal.gdc.cancer.gov/  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/#Sec41,PXD038214, http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD038214  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,,,,,,,
41467_2023_35797_MOESM1_ESM.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM1_ESM.pdf,No Title,local-data,MOESM1,Supplementary Information,Supplementary Information,supplementary material
41467_2023_35797_MOESM2_ESM.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM2_ESM.pdf,No Title,local-data,MOESM2,Description of Additional Supplementary Files,Description of Additional Supplementary Files,supplementary material
41467_2023_35797_MOESM3_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM3_ESM.xlsx,No Title,local-data,MOESM3,Supplementary Data 1,Supplementary Data 1,supplementary material
41467_2023_35797_MOESM4_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM4_ESM.xlsx,No Title,local-data,MOESM4,Supplementary Data 2,Supplementary Data 2,supplementary material
41467_2023_35797_MOESM5_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM5_ESM.xlsx,No Title,local-data,MOESM5,Supplementary Data 3,Supplementary Data 3,supplementary material
41467_2023_35797_MOESM6_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM6_ESM.xlsx,No Title,local-data,MOESM6,Supplementary Data 4,Supplementary Data 4,supplementary material
41467_2023_35797_MOESM7_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM7_ESM.xlsx,No Title,local-data,MOESM7,Supplementary Data 5,Supplementary Data 5,supplementary material
41467_2023_35797_MOESM8_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM8_ESM.xlsx,No Title,local-data,MOESM8,Supplementary Data 6,Supplementary Data 6,supplementary material
41467_2023_35797_MOESM9_ESM.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM9_ESM.xlsx,No Title,local-data,MOESM9,Supplementary Data 7,Supplementary Data 7,supplementary material
41467_2023_35797_MOESM10_ESM.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9929250/bin/41467_2023_35797_MOESM10_ESM.pdf,No Title,local-data,MOESM10,Reporting Summary,Reporting Summary,supplementary material
https://portal.gdc.cancer.gov/projects/CPTAC-3,https://portal.gdc.cancer.gov/projects/CPTAC-3, Genomic Data Commons (GDC)  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,,,,,,,
https://pdc.cancer.gov/,PDC000464,  https://pdc.cancer.gov/  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,,,,,,,
http://ccrcc-conf.cptac-data-view.org/,http://ccrcc-conf.cptac-data-view.org/,  http://ccrcc-conf.cptac-data-view.org/  ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/#sec5,Not applicable, Not applicable ,dataset,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,,,,,,,
mmc1.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc1.pdf,Document S1. Figures S1–S7,local-data,mmc1,Document S1. Figures S1–S7,No description,supplementary material
mmc2.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc2.xlsx,"Table S1. Sample annotation table, related to Figure 1",local-data,mmc2,"Table S1. Sample annotation table, related to Figure 1 Clinical characteristics of patients, data availability of samples, WGS, WES, and RNA-seq depth.","Clinical characteristics of patients, data availability of samples, WGS, WES, and RNA-seq depth.",supplementary material
mmc3.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc3.xlsx,"Table S2. RNA protein tables, related to Figure 1",local-data,mmc3,"Table S2. RNA protein tables, related to Figure 1 Processed RNA and protein tables used for downstream analysis.",Processed RNA and protein tables used for downstream analysis.,supplementary material
mmc4.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc4.xlsx,"Table S3. Sample molecular features, related to Figure 1",local-data,mmc4,"Table S3. Sample molecular features, related to Figure 1 Sample molecular characteristics including somatic mutations, copy number variation, methylation probes matrix, immune deconvolution results, differential expression analysis, and gene set enrichment analysis results.","Sample molecular characteristics including somatic mutations, copy number variation, methylation probes matrix, immune deconvolution results, differential expression analysis, and gene set enrichment analysis results.",supplementary material
mmc5.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc5.xlsx,"Table S4. High-wGII tumor markers, related to Figure 1",local-data,mmc5,"Table S4. High-wGII tumor markers, related to Figure 1 Differential expression analysis and gene set enrichment analysis (GSEA) results comparing high-wGII and low-wGII groups in RNA and protein data.",Differential expression analysis and gene set enrichment analysis (GSEA) results comparing high-wGII and low-wGII groups in RNA and protein data.,supplementary material
mmc6.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc6.xlsx,"Table S5. Single-nuclei RNA-seq, related to Figure 2",local-data,mmc6,"Table S5. Single-nuclei RNA-seq, related to Figure 2 Sample information for snRNA-seq data and cell clustering results.",Sample information for snRNA-seq data and cell clustering results.,supplementary material
mmc7.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc7.xlsx,"Table S6. Phosphoproteomics analysis, related to Figure 3",local-data,mmc7,"Table S6. Phosphoproteomics analysis, related to Figure 3 Protein phosphorylation analysis including site level differential expression analysis, PTM-SEA, kinase-substrate co-regulation analysis, and CLUMPS-PTM analysis results.","Protein phosphorylation analysis including site level differential expression analysis, PTM-SEA, kinase-substrate co-regulation analysis, and CLUMPS-PTM analysis results.",supplementary material
mmc8.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc8.xlsx,"Table S7. Glycoproteomics analysis, related to Figure 4",local-data,mmc8,"Table S7. Glycoproteomics analysis, related to Figure 4 Protein glycosylation analysis including differential expression analysis and cell type enrichment analysis.",Protein glycosylation analysis including differential expression analysis and cell type enrichment analysis.,supplementary material
mmc9.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc9.xlsx,"Table S8. Metabolomics analysis, related to Figure 5",local-data,mmc9,"Table S8. Metabolomics analysis, related to Figure 5 Differential expression and metabolite-enzyme joint enrichment analysis results.",Differential expression and metabolite-enzyme joint enrichment analysis results.,supplementary material
mmc10.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc10.xlsx,"Table S9. Papillary RCC characterization, related to Figure 6",local-data,mmc10,"Table S9. Papillary RCC characterization, related to Figure 6 Differential expression analysis of pRCC using RNA, protein, and phosphorylation including external cohort comparison.","Differential expression analysis of pRCC using RNA, protein, and phosphorylation including external cohort comparison.",supplementary material
mmc11.xlsx,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc11.xlsx,"Table S10. Oncocytic tumor characterization, related to Figure 7",local-data,mmc11,"Table S10. Oncocytic tumor characterization, related to Figure 7 Differential expression and transcription regulon analysis of oncocytic tumors using RNA and protein data.",Differential expression and transcription regulon analysis of oncocytic tumors using RNA and protein data.,supplementary material
mmc12.pdf,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11148773/bin/mmc12.pdf,Document S2. Article plus supplemental information,local-data,mmc12,Document S2. Article plus supplemental information,No description,supplementary material
