link,content_type,dataset_identifier,data_repository,source_section,dataset_webpage,source_url,download_link,title,id,surrounding_text,description,file_extension
n/a,,PXD049309,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,data availability from webpage,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,,,,"Data Availability Statement
All data generated or analyzed during this study are included in this published article and its Supplementary Information Files. The MS/MS raw data and analysis have been deposited in the ProteomeXchange Consortium via the jPOST partner repository with the data set identifier JPST002506 and PXD049309 (https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049309, accessed on 29 July 2024).",,
biomolecules-14-00969-s001.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11352417/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11352417/bin/biomolecules-14-00969-s001.zip,No Title,biomolecules-14-00969-s001,,No description,zip
n/a,,10.6019/PXD047284,https://www.proteomexchange.org,data availability from webpage,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,,,,"Data Availability Statement
The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE partner repository with the dataset identifier PXD047284 and 10.6019/PXD047284 (https://www.proteomexchange.org, accessed on 1 January 2024).",,n/a
n/a,,10.6019/PXD047284,https://www.proteomexchange.org,data availability from webpage,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10855131/,,,,"Data Availability Statement
The mass spectrometry proteomics data have been deposited to the ProteomeXchange Consortium via the PRIDE partner repository with the dataset identifier PXD047284 and 10.6019/PXD047284 (https://www.proteomexchange.org, accessed on 1 January 2024).",,n/a
http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data_link,PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/#Sec26,data_link,PXD042233,http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,data availability,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042233,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,,,,,,
41467_2024_48711_MOESM4_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM4_ESM.xlsx,No Title,MOESM4,Supplementary Data 1,Supplementary Data 1,xlsx
41467_2024_48711_MOESM5_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM5_ESM.xlsx,No Title,MOESM5,Supplementary Data 2,Supplementary Data 2,xlsx
41467_2024_48711_MOESM6_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM6_ESM.xlsx,No Title,MOESM6,Supplementary Data 3,Supplementary Data 3,xlsx
41467_2024_48711_MOESM7_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM7_ESM.xlsx,No Title,MOESM7,Supplementary Data 4,Supplementary Data 4,xlsx
41467_2024_48711_MOESM8_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM8_ESM.xlsx,No Title,MOESM8,Supplementary Data 5,Supplementary Data 5,xlsx
41467_2024_48711_MOESM9_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM9_ESM.xlsx,No Title,MOESM9,Supplementary Data 6,Supplementary Data 6,xlsx
41467_2024_48711_MOESM10_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM10_ESM.xlsx,No Title,MOESM10,Supplementary Data 7,Supplementary Data 7,xlsx
41467_2024_48711_MOESM11_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM11_ESM.xlsx,No Title,MOESM11,Supplementary Data 8,Supplementary Data 8,xlsx
41467_2024_48711_MOESM12_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM12_ESM.xlsx,No Title,MOESM12,Supplementary Data 9,Supplementary Data 9,xlsx
41467_2024_48711_MOESM13_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM13_ESM.xlsx,No Title,MOESM13,Supplementary Data 10,Supplementary Data 10,xlsx
41467_2024_48711_MOESM14_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM14_ESM.xlsx,No Title,MOESM14,Supplementary Data 11,Supplementary Data 11,xlsx
41467_2024_48711_MOESM15_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM15_ESM.xlsx,No Title,MOESM15,Supplementary Data 12,Supplementary Data 12,xlsx
41467_2024_48711_MOESM16_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM16_ESM.xlsx,No Title,MOESM16,Supplementary Data 13,Supplementary Data 13,xlsx
41467_2024_48711_MOESM17_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM17_ESM.xlsx,No Title,MOESM17,Supplementary Data 14,Supplementary Data 14,xlsx
41467_2024_48711_MOESM18_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM18_ESM.xlsx,No Title,MOESM18,Source Data,Source Data,xlsx
41467_2024_48711_MOESM4_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM4_ESM.xlsx,No Title,MOESM4,Supplementary Data 1,Supplementary Data 1,xlsx
41467_2024_48711_MOESM5_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM5_ESM.xlsx,No Title,MOESM5,Supplementary Data 2,Supplementary Data 2,xlsx
41467_2024_48711_MOESM6_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM6_ESM.xlsx,No Title,MOESM6,Supplementary Data 3,Supplementary Data 3,xlsx
41467_2024_48711_MOESM7_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM7_ESM.xlsx,No Title,MOESM7,Supplementary Data 4,Supplementary Data 4,xlsx
41467_2024_48711_MOESM8_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM8_ESM.xlsx,No Title,MOESM8,Supplementary Data 5,Supplementary Data 5,xlsx
41467_2024_48711_MOESM9_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM9_ESM.xlsx,No Title,MOESM9,Supplementary Data 6,Supplementary Data 6,xlsx
41467_2024_48711_MOESM10_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM10_ESM.xlsx,No Title,MOESM10,Supplementary Data 7,Supplementary Data 7,xlsx
41467_2024_48711_MOESM11_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM11_ESM.xlsx,No Title,MOESM11,Supplementary Data 8,Supplementary Data 8,xlsx
41467_2024_48711_MOESM12_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM12_ESM.xlsx,No Title,MOESM12,Supplementary Data 9,Supplementary Data 9,xlsx
41467_2024_48711_MOESM13_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM13_ESM.xlsx,No Title,MOESM13,Supplementary Data 10,Supplementary Data 10,xlsx
41467_2024_48711_MOESM14_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM14_ESM.xlsx,No Title,MOESM14,Supplementary Data 11,Supplementary Data 11,xlsx
41467_2024_48711_MOESM15_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM15_ESM.xlsx,No Title,MOESM15,Supplementary Data 12,Supplementary Data 12,xlsx
41467_2024_48711_MOESM16_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM16_ESM.xlsx,No Title,MOESM16,Supplementary Data 13,Supplementary Data 13,xlsx
41467_2024_48711_MOESM17_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM17_ESM.xlsx,No Title,MOESM17,Supplementary Data 14,Supplementary Data 14,xlsx
41467_2024_48711_MOESM18_ESM.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11208500/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11208500/bin/41467_2024_48711_MOESM18_ESM.xlsx,No Title,MOESM18,Source Data,Source Data,xlsx
https://pdc.cancer.gov/pdc/,data_link,PDC IDs,https://pdc.cancer.gov/pdc/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.1,data_link,PDC IDs,https://pdc.cancer.gov/pdc/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.1,data_link,PDC IDs,https://pdc.cancer.gov/pdc/,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.1,data_link,DOI listed in the key resources table,MendeleyData,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/#sec4.2.1,data_link,Not Available,NotAvailable,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,,,,,,
mmc2.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc2.zip,File S1. Detailed Philosopher parameters for substitutant library scanning,mmc2,File S1. Detailed Philosopher parameters for substitutant library scanning,No description,zip
mmc3.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc3.xlsx,"Table S1. Identified arginine to all other amino acid substitution peptides in different cancers, related to Figure 1",mmc3,"Table S1. Identified arginine to all other amino acid substitution peptides in different cancers, related to Figure 1",No description,xlsx
mmc4.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc4.xlsx,"Table S2. Arginine-to-cysteine substitutants with codon-specific analysis in LSCC, related to Figure 3",mmc4,"Table S2. Arginine-to-cysteine substitutants with codon-specific analysis in LSCC, related to Figure 3",No description,xlsx
mmc5.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc5.xlsx,"Table S3. Arginine substitutants codon-specific analysis in different cancers, related to Figure 1",mmc5,"Table S3. Arginine substitutants codon-specific analysis in different cancers, related to Figure 1",No description,xlsx
mmc6.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc6.xlsx,"Table S4. Proteomic analysis of MDA-MB-231 cells treated with arginine depletion, related to Figure 4",mmc6,"Table S4. Proteomic analysis of MDA-MB-231 cells treated with arginine depletion, related to Figure 4",No description,xlsx
mmc7.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc7.xlsx,"Table S5. Ontology-enrichment analysis of arginine-to-cysteine substitutants, related to Figure 5",mmc7,"Table S5. Ontology-enrichment analysis of arginine-to-cysteine substitutants, related to Figure 5",No description,xlsx
mmc8.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc8.xlsx,"Table S6. Proteomics analysis of A549 cells treated with arginine depletion, related to Figure 5",mmc8,"Table S6. Proteomics analysis of A549 cells treated with arginine depletion, related to Figure 5",No description,xlsx
mmc9.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc9.xlsx,"Table S7. DNA fragments of the plasmids used in this study, related to Figures 3, 4, and 5",mmc9,"Table S7. DNA fragments of the plasmids used in this study, related to Figures 3, 4, and 5",No description,xlsx
mmc2.zip,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc2.zip,File S1. Detailed Philosopher parameters for substitutant library scanning,mmc2,File S1. Detailed Philosopher parameters for substitutant library scanning,No description,zip
mmc3.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc3.xlsx,"Table S1. Identified arginine to all other amino acid substitution peptides in different cancers, related to Figure 1",mmc3,"Table S1. Identified arginine to all other amino acid substitution peptides in different cancers, related to Figure 1",No description,xlsx
mmc4.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc4.xlsx,"Table S2. Arginine-to-cysteine substitutants with codon-specific analysis in LSCC, related to Figure 3",mmc4,"Table S2. Arginine-to-cysteine substitutants with codon-specific analysis in LSCC, related to Figure 3",No description,xlsx
mmc5.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc5.xlsx,"Table S3. Arginine substitutants codon-specific analysis in different cancers, related to Figure 1",mmc5,"Table S3. Arginine substitutants codon-specific analysis in different cancers, related to Figure 1",No description,xlsx
mmc6.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc6.xlsx,"Table S4. Proteomic analysis of MDA-MB-231 cells treated with arginine depletion, related to Figure 4",mmc6,"Table S4. Proteomic analysis of MDA-MB-231 cells treated with arginine depletion, related to Figure 4",No description,xlsx
mmc7.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc7.xlsx,"Table S5. Ontology-enrichment analysis of arginine-to-cysteine substitutants, related to Figure 5",mmc7,"Table S5. Ontology-enrichment analysis of arginine-to-cysteine substitutants, related to Figure 5",No description,xlsx
mmc8.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc8.xlsx,"Table S6. Proteomics analysis of A549 cells treated with arginine depletion, related to Figure 5",mmc8,"Table S6. Proteomics analysis of A549 cells treated with arginine depletion, related to Figure 5",No description,xlsx
mmc9.xlsx,local-data,,,supplementary material,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11129317/,https://pmc.ncbi.nlm.nih.gov/articles/instance/11129317/bin/mmc9.xlsx,"Table S7. DNA fragments of the plasmids used in this study, related to Figures 3, 4, and 5",mmc9,"Table S7. DNA fragments of the plasmids used in this study, related to Figures 3, 4, and 5",No description,xlsx
http://www.iprox.org,data_link,IPX0004230000,http://www.iprox.org,data availability,na,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11423856/,,,,,,
