['mmc2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11462282']
['mc3.v0.2.8.public.nonsilentgene.xena', 'xenabrowser.net', 'PMC11540438']
['nihms2030980', 'www.ncbi.nlm.nih.gov', 'PMC11580823']
['phs000424.v9', 'dbgap', 'PMC11580823']
['sbt', nan, 'PMC11591854']
['gse125188', 'geo', 'PMC11601639']
['gse117156', 'geo', 'PMC11601639']
['sciadv.adk4851_sm.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC11616711']
['10.5281/zenodo.13763898', 'doi.org', 'PMC11616711']
['10.5281/zenodo.13761410', 'doi.org', 'PMC11616711']
['10.5281/zenodo.13969855', 'doi.org', 'PMC11623095']
['davidsmithwj/msr-unet', 'github.com', 'PMC11623095']
['10.7717/peerj-cs.2563/supp-1', 'doi.org', 'PMC11623095']
['acdc', 'humanheart-project.creatis.insa-lyon.fr', 'PMC11623095']
['miami-ad', 'miami-ad.org', 'PMC11623774']
['adni', 'adni.loni.usc.edu', 'PMC11623774']
['gse281429', 'geo', 'PMC11623774']
['gcst90027158', 'www.ebi.ac.uk', 'PMC11623774']
['10.1172/jci.insight.182390ds1', 'doi.org', 'PMC11623943']
['jciinsight-9-182390-s071.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC11623943']
['jciinsight-9-182390-s070.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC11623943']
['df.rdata', 'github.com', 'PMC11633955']
['gse229762', 'geo', 'PMC11641111']
['10.5281/zenodo.13370637', 'doi.org', 'PMC11641111']
['sciadv.adq3073_sm.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC11641111']
['gse190125', 'geo', 'PMC11641111']
['st002200', 'dev.metabolomicsworkbench.org', 'PMC11641111']
['10.5281/zenodo.13376529', 'doi.org', 'PMC11641111']
['gse229737', 'geo', 'PMC11641111']
['sciadv.adq3073_tables_s1_to_s10.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC11641111']
['10.1101/2024.12.04.626793', 'doi.org', 'PMC11643020']
['pmc11643295', 'www.ncbi.nlm.nih.gov', 'PMC11643295']
['media-1.docx', 'www.ncbi.nlm.nih.gov', 'PMC11643295']
['onek1k', 'www.onek1k.org', 'PMC11643295']
['10.1101/2024.12.04.24318500', 'doi.org', 'PMC11643295']
['repec:cdp:texdis:td630', 'econpapers.repec.org', 'PMC11654137']
['sinasc', 'pcdas.icict.fiocruz.br', 'PMC11654137']
['repec:cdp:texdis:td532', 'ideas.repec.org', 'PMC11654137']
['10.7937/k9/tcia.2017.gjq7r0ef', 'doi.org', 'PMC11657002']
['brats 2020', 'www.med.upenn.edu', 'PMC11657002']
['10.7937/k9/tcia.2017.klxwjj1q', 'doi.org', 'PMC11657002']
['gse112047', 'geo', 'PMC11666043']
['gse48472', 'geo', 'PMC11666043']
['gse50192', 'geo', 'PMC11666043']
['gse125895', 'geo', 'PMC11666043']
['gse43414', 'geo', 'PMC11666043']
['gse80970', 'geo', 'PMC11666043']
['gse157272', 'geo', 'PMC11666043']
['gse66351', 'geo', 'PMC11666043']
['gse105109', 'geo', 'PMC11666043']
['gse163005', 'geo', 'PMC11684814']
['gse138266', 'geo', 'PMC11684814']
['ms_csf_project', 'github.com', 'PMC11684814']
['jci-135-177793-s013.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC11684814']
['gsm5264668', 'geo', 'PMC11684814']
['pmc11684814', 'pmc.ncbi.nlm.nih.gov', 'PMC11684814']
['jci-135-177793-s012.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC11684814']
['gse141578', 'geo', 'PMC11684814']
['gse133028', 'geo', 'PMC11684814']
['10.1172/jci177793ds1', 'doi.org', 'PMC11684814']
['jci-135-177793-s011.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC11684814']
['tcga-brca', 'portal.gdc.cancer.gov', 'PMC11709273']
['tcga-luad', 'portal.gdc.cancer.gov', 'PMC11709273']
['cptac', 'portal.gdc.cancer.gov', 'PMC11709273']
['pmc11709273', 'www.ncbi.nlm.nih.gov', 'PMC11709273']
['tcga-lusc', 'portal.gdc.cancer.gov', 'PMC11709273']
['tcga-stad', 'portal.gdc.cancer.gov', 'PMC11709273']
['10.1371/journal.pcbi.1012710', 'doi.org', 'PMC11709273']
['39724112', 'pdb', 'PMC11709273']
['github:yqbu/cancersd', 'github.com', 'PMC11709273']
['gse62254', 'geo', 'PMC11709273']
['pmc11722314', 'pmc.ncbi.nlm.nih.gov', 'PMC11722314']
['media-2.xlsx', 'pmc.ncbi.nlm.nih.gov', 'PMC11722314']
['10.1101/2025.01.02.631098', 'doi.org', 'PMC11722314']
['media-1.docx', 'pmc.ncbi.nlm.nih.gov', 'PMC11722314']
['10.6084/m9.figshare.27181179.v1', 'doi.org', 'PMC11752824']
['nihms2038220', 'www.ncbi.nlm.nih.gov', 'PMC11752824']
['proteomicsofphysicalactivity2024', 'github.com', 'PMC11759254']
['ukb-ppp', 'doi.org', 'PMC11759254']
['39867359', 'pdb', 'PMC11759254']
['pmc11759254', 'pmc.ncbi.nlm.nih.gov', 'PMC11759254']
['application 21259', 'www.ukbiobank.ac.uk', 'PMC11759254']
['10.1101/2025.01.16.25320290', 'doi.org', 'PMC11759254']
['p36931', 'www.ncbi.nlm.nih.gov', 'PMC11760239']
['onek1k', 'www.onek1k.org', 'PMC11760239']
['10.21203/rs.3.rs-5644532/v1', 'doi.org', 'PMC11760239']
['pmc11760239', 'pmc.ncbi.nlm.nih.gov', 'PMC11760239']
['39866869', 'pdb', 'PMC11760239']
['gse206527', 'geo', 'PMC11763529']
['gse120685', 'geo', 'PMC11763529']
['gse183307', 'geo', 'PMC11763529']
['egas0000100452', nan, 'PMC11763529']
['gse207400', 'geo', 'PMC11763529']
['gse239561', 'geo', 'PMC11763529']
['gse212964', 'geo', 'PMC11763529']
['gse179033', 'geo', 'PMC11763529']
['gse39764', 'geo', 'PMC11763529']
['gse179699', 'geo', 'PMC11763529']
['gse21714', 'geo', 'PMC11763529']
['gse183308', 'geo', 'PMC11763529']
['gse35852', 'geo', 'PMC11763529']
['gse66743', 'geo', 'PMC11763529']
['gse47476', 'geo', 'PMC11763529']
['gse77203', 'geo', 'PMC11763529']
['gse35851', 'geo', 'PMC11763529']
['gse263127', 'geo', 'PMC11763529']
['gse270880', 'geo', 'PMC11763529']
['gse179586', 'geo', 'PMC11763529']
['gse52252', 'geo', 'PMC11763529']
['gse8717', 'geo', 'PMC11763529']
['gse179041', 'geo', 'PMC11763529']
['gse62500', 'geo', 'PMC11763529']
['gse140987', 'geo', 'PMC11763529']
['gse17118', 'geo', 'PMC11763529']
['gse141438', 'geo', 'PMC11763529']
['gse216792', 'geo', 'PMC11763529']
['tcga-sarc', 'www.cancer.gov', 'PMC11763529']
['gse145064', 'geo', 'PMC11763529']
['gse84205', 'geo', 'PMC11763529']
['egad00001008608', nan, 'PMC11763529']
['e-mtab-8864', 'arrayexpress', 'PMC11763529']
['gse52390', 'geo', 'PMC11763529']
['gse41747', 'geo', 'PMC11763529']
['gse178989', 'geo', 'PMC11763529']
['gse179585', 'geo', 'PMC11763529']
['gse241224', 'geo', 'PMC11763529']
['gse213988', 'geo', 'PMC11763529']
['gse118185', 'geo', 'PMC11763529']
['gse275047', 'geo', 'PMC11763529']
['gse207399', 'geo', 'PMC11763529']
['gse36982', 'geo', 'PMC11763529']
['gse141437', 'geo', 'PMC11763529']
['gse52391', 'geo', 'PMC11763529']
['gse57141', 'geo', 'PMC11763529']
['gse60082', 'geo', 'PMC11763529']
['gse141435', 'geo', 'PMC11763529']
['prjna854920', nan, 'PMC11763529']
['egas0000100452_dup', nan, 'PMC11763529']
['gse47477', 'geo', 'PMC11763529']
['alz-21-e14366-s004.pdf', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['alz-21-e14366-s008.tif', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['mk630010.1', 'nuccore', 'PMC11782843']
['mk630009.1', 'nuccore', 'PMC11782843']
['marmo-ad', 'synapse.org', 'PMC11782843']
['mk630008', 'nuccore', 'PMC11782843']
['alz-21-e14366-s001.tif', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['alz-21-e14366-s002.tif', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['alz-21-e14366-s006.tif', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['alz-21-e14366-s003.tif', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['alz-21-e14366-s007.docx', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['alz-21-e14366-s005.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC11782843']
['mm-whs', 'zmiclab.github.io', 'PMC11788268']
['brainles', 'www.brainlesion-workshop.org', 'PMC11788268']
['greenelab/buddi', 'github.com', 'PMC11790236']
['10.6084/m9.figshare.25564344', 'doi.org', 'PMC11790236']
['gsm4150378', 'geo', 'PMC11790236']
['greenelab/buddi_analysis', 'github.com', 'PMC11790236']
['gse132040', 'geo', 'PMC11790236']
['10.6084/m9.figshare.8273102.v2', 'doi.org', 'PMC11790236']
['10.6084/m9.figshare.23721336', 'doi.org', 'PMC11790236']
['10.6084/m9.figshare.27280626', 'doi.org', 'PMC11790236']
['sciadv.adk0837_sm.pdf', 'www.ncbi.nlm.nih.gov', 'PMC11827637']
['cimla', 'github.com', 'PMC11827637']
['10.5281/zenodo.13765631', 'doi.org', 'PMC11827637']
['sciadv.adk0837_tables_s1_to_s3', 'www.ncbi.nlm.nih.gov', 'PMC11827637']
['psychencode_grn1', 'resource.psychencode.org', 'PMC11827637']
['gtex', 'www.gtexportal.org', 'PMC11839622']
['gse102073', 'geo', 'PMC11839622']
['tcga', 'portal.gdc.cancer.gov', 'PMC11839622']
['emtab8107', nan, 'PMC11839622']
['gse118828', 'geo', 'PMC11839622']
['gse130000', 'geo', 'PMC11839622']
['gse154600', 'geo', 'PMC11839622']
['gse26712', 'geo', 'PMC11839622']
['rosmap', 'www.radc.rush.edu', 'PMC11842900']
['nlae132_supplementary_data.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC11842900']
['pmc11842900', 'pmc.ncbi.nlm.nih.gov', 'PMC11842900']
['10.1093/jnen/nlae132', 'doi.org', 'PMC11842900']
['brats', nan, 'PMC11852190']
['syn11707420', 'synapse.org', 'PMC11864243']
['chole80-cvs', 'doi.org', 'PMC11865446']
['10.57745/1f0ubu', 'doi.org', 'PMC11865446']
['cholec80', nan, 'PMC11865446']
['cholect50', 'github.com', 'PMC11865446']
['jigsaws', 'cirl.lcsr.jhu.edu', 'PMC11865446']
['misaw', nan, 'PMC11865446']
['cholecseg8k', nan, 'PMC11865446']
['rosmap', 'www.radc.rush.edu', 'PMC11881628']
['10.1101/2025.02.20.639240', 'doi.org', 'PMC11888159']
['h9pse', 'osf.io', 'PMC11894334']
['mmc1.docx', 'www.ncbi.nlm.nih.gov', 'PMC11894334']
['pcbi.1002920.s007', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['gse31448', 'geo', 'PMC3581797']
['gse36771', 'geo', 'PMC3581797']
['pcbi.1002920.s008', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['gse2034', 'geo', 'PMC3581797']
['pcbi.1002920.s005', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['gse3494', 'geo', 'PMC3581797']
['gse13507', 'geo', 'PMC3581797']
['pcbi.1002920.s006', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['pcbi.1002920.s004', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['gse32646', 'geo', 'PMC3581797']
['gse9891', 'geo', 'PMC3581797']
['gse25104', 'geo', 'PMC3581797']
['metabric', nan, 'PMC3581797']
['tcga', nan, 'PMC3581797']
['pcbi.1002920.s010', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['gse14333', 'geo', 'PMC3581797']
['gse26193', 'geo', 'PMC3581797']
['pcbi.1002920.s002', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['pcbi.1002920.s003', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['pcbi.1002920.s001', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['gse3893', 'geo', 'PMC3581797']
['pcbi.1002920.s009', 'www.ncbi.nlm.nih.gov', 'PMC3581797']
['egas00000000083', 'ega-archive.org', 'PMC3649990']
['syn160764', 'synapse.org', 'PMC3649990']
['gse19783', 'geo', 'PMC3649990']
['srep02650-s2.zip', 'pmc.ncbi.nlm.nih.gov', 'PMC3788361']
['10.1038/srep02650', 'doi.org', 'PMC3788361']
['srep02650-s1.pdf', 'pmc.ncbi.nlm.nih.gov', 'PMC3788361']
['srep02651-s2.zip', 'www.ncbi.nlm.nih.gov', 'PMC3788619']
['srep02651-s1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC3788619']
['10.1038/srep02651', 'doi.org', 'PMC3788619']
['pmc3788619', 'www.ncbi.nlm.nih.gov', 'PMC3788619']
['srep02651-s3.pdf', 'www.ncbi.nlm.nih.gov', 'PMC3788619']
['24089029', 'pdb', 'PMC3788619']
['gse1133', 'geo', 'PMC3826632']
['gse35602', 'geo', 'PMC3826632']
['gse34211', 'geo', 'PMC3826632']
['gse33363', 'geo', 'PMC3826632']
['ncomms3612-s4.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3826632']
['gse17708', 'geo', 'PMC3826632']
['ncomms3612-s1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC3826632']
['tcga', 'tcga-data.nci.nih.gov', 'PMC3826632']
['ncomms3612-s2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3826632']
['gse10797', 'geo', 'PMC3826632']
['gse18520', 'geo', 'PMC3826632']
['gse29156', 'geo', 'PMC3826632']
['rembrandt', 'rembrandt.nci.nih.gov', 'PMC3826632']
['pmc3826632', 'www.ncbi.nlm.nih.gov', 'PMC3826632']
['gse14548', 'geo', 'PMC3826632']
['gse9890', 'geo', 'PMC3826632']
['tcga_unified_expression', 'tcga-data.nci.nih.gov', 'PMC3826632']
['ncomms3612-s3.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3826632']
['srr592688', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr189785', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580356', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048976', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['misnp', 'www.genboree.org', 'PMC3868236']
['srr189782', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr592689', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580362', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s12.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580352', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580359', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr189786', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr592687', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['24220575', 'pdb', 'PMC3868236']
['srr048981', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048975', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580355', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr359787', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s9.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048978', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s4.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s5.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s3.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr592685', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s14.zip', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr189787', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048973', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr343334', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580353', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['10.1038/ncomms3730', 'doi.org', 'PMC3868236']
['ncomms3730-s10.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580363', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580360', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580361', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr592686', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048980', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr343335', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['pmc3868236', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr189784', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr343337', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048977', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s7.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s8.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s11.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048979', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr048974', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580354', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr189783', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr580357', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['srr343336', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s1.pdf', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['ncomms3730-s2.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3868236']
['drr001797', 'trace.ddbj.nig.ac.jp', 'PMC3909098']
['pone.0087361.s008', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['pone.0087361.s006', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['drr001798', 'trace.ddbj.nig.ac.jp', 'PMC3909098']
['pone.0087361.s003', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['pone.0087361.s004', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['pone.0087361.s005', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['tcga-ab-2977', 'gdc.cancer.gov', 'PMC3909098']
['pone.0087361.s001', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['pone.0087361.s002', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['drr001799', 'trace.ddbj.nig.ac.jp', 'PMC3909098']
['pone.0087361.s007', 'www.ncbi.nlm.nih.gov', 'PMC3909098']
['drr001796', 'trace.ddbj.nig.ac.jp', 'PMC3909098']
['pmc3927368', 'www.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm81', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm82', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['pmid:24132290', 'pubmed.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm77', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm78', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm80', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm83', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['nihms550175', 'www.ncbi.nlm.nih.gov', 'PMC3927368']
['moesm79', 'pmc.ncbi.nlm.nih.gov', 'PMC3927368']
['10.1038/nature12634', 'doi.org', 'PMC3927368']
['cs807851', 'nuccore', 'PMC3937226']
['pgen.1004177.s010.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3937226']
['pgen.1004177.s011.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3937226']
['10.1371/journal.pgen.1004177', 'doi.org', 'PMC3937226']
['cs704488', 'nuccore', 'PMC3937226']
['pgen.1004177.s009.xlsx', 'www.ncbi.nlm.nih.gov', 'PMC3937226']
['cs711714', 'nuccore', 'PMC3937226']
['egas00001000585', 'ega-archive.org', 'PMC3937590']
['gse48216', 'geo', 'PMC3937590']
['gse42944', 'geo', 'PMC3937590']
['e-tabm-157', 'arrayexpress', 'PMC3937590']
['egas00000000059', 'ega-archive.org', 'PMC3937590']
['e-mtab-181', 'arrayexpress', 'PMC3937590']
['pmid:24509793', 'pubmed.ncbi.nlm.nih.gov', 'PMC3943677']
['nihms551115', 'pmc.ncbi.nlm.nih.gov', 'PMC3943677']
['pmc3943677', 'pmc.ncbi.nlm.nih.gov', 'PMC3943677']
['syn1703335', 'synapse.org', 'PMC3950337']
['syn1809223', 'synapse.org', 'PMC3950337']
['syn1686966', 'synapse.org', 'PMC3950337']
['syn1709899', 'synapse.org', 'PMC3950337']
['syn1901044', 'synapse.org', 'PMC3950337']
['syn1750331', 'synapse.org', 'PMC3950337']
['syn1750330', 'synapse.org', 'PMC3950337']
['syn1715784', 'synapse.org', 'PMC3950337']
['syn1868708', 'synapse.org', 'PMC3950337']
['syn300013', 'synapse.org', 'PMC3950337']
['syn1703131', 'synapse.org', 'PMC3950337']
['nihms555419', 'www.ncbi.nlm.nih.gov', 'PMC3951205']
['nihms551112', 'www.ncbi.nlm.nih.gov', 'PMC4025965']
['nihms551112-supplement-1', 'www.ncbi.nlm.nih.gov', 'PMC4025965']
['phs000281.v4.p2', 'dbgap', 'PMC4025965']
['tcga-ov', 'portal.gdc.cancer.gov', 'PMC4025965']
['1000g_phase1', 'pdb', 'PMC4025965']
['dbsnp137', 'www.ncbi.nlm.nih.gov', 'PMC4025965']
['pmc4025965', 'www.ncbi.nlm.nih.gov', 'PMC4025965']
['nhlbi-esp', 'esp.gs.washington.edu', 'PMC4025965']
['phs000370.v1.p1', 'dbgap', 'PMC4048962']
['phs000330.v1.p1', 'dbgap', 'PMC4048962']
['phs000579.v1.p1', 'dbgap', 'PMC4048962']
['phs000374.v1.p1', 'dbgap', 'PMC4048962']
['phs000447.v1.p1', 'dbgap', 'PMC4048962']
['phs000488.v1.p1', 'dbgap', 'PMC4048962']
['nihms568868', 'www.ncbi.nlm.nih.gov', 'PMC4048962']
['phs000467.v6.p1', 'dbgap', 'PMC4048962']
['phs000450.v1.p1', 'dbgap', 'PMC4048962']
['phs000598.v1.p1', 'dbgap', 'PMC4048962']
['phs000504.v1.p1', 'dbgap', 'PMC4048962']
['phs000348.v1.p1', 'dbgap', 'PMC4048962']
['phs000508.v1.p1', 'dbgap', 'PMC4048962']
['phs000369.v1.p1', 'dbgap', 'PMC4048962']
['phs000452.v1.p1', 'dbgap', 'PMC4048962']
['phs000435.v2.p1', 'dbgap', 'PMC4048962']
['gb-2013-14-9-r106-s3', 'pmc.ncbi.nlm.nih.gov', 'PMC4054018']
['gb-2013-14-9-r106-s1', 'pmc.ncbi.nlm.nih.gov', 'PMC4054018']
['gb-2013-14-9-r106-s2', 'pmc.ncbi.nlm.nih.gov', 'PMC4054018']
['ccle', 'www.broadinstitute.org', 'PMC4054018']
['gitools-intogen', 'www.gitools.org', 'PMC4054018']
['gse36133', 'geo', 'PMC4054018']
['intogen-mutations', 'www.intogen.org', 'PMC4054018']
['nihms600159', 'www.ncbi.nlm.nih.gov', 'PMC4102885']
['tcga', 'tcga-data.nci.nih.gov', 'PMC4102885']
['10.1038/nbt.2940', 'doi.org', 'PMC4102885']
